Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13-066-CC	0.352654	0.397767	0.452528	0.507081	0.557009	0.604577	0.649365	0.696178	0.736855	0.768203	0.802263	0.835082	0.873377	0.909778	0.93485	0.956064	0.971842	0.98339	0.982063	0.997753	1.014309	1.027488	1.041429	1.053621	1.064519	1.071337	1.081659	1.093669	1.106744	1.106277	1.108307	1.119252	1.117521	1.117467	1.126039	1.135701	1.137487	1.139355	1.148425	1.152127	1.152691	1.16131	1.165239	1.169016	1.177702	1.18001	1.178128	1.173056	1.176549	1.176042	1.174245	1.17449	1.172036	1.171782	1.173443	1.169786	1.17247	1.172435	1.169752	1.166846	1.167256	1.168173	1.162283	1.16119	1.161779	1.15856	1.152067	1.152628	1.150407	1.143804	1.138495	1.127747	1.121907	1.113786	1.107905	1.096862	1.086471	1.074796	1.069133	1.061906	1.05202	1.045039	1.032475	1.020019	1.003115	0.983204	0.955936	0.936557	0.917425	0.895906	0.874484	0.842012	0.813173	0.781344	0.747622	0.709238	0.668164	0.632175	0.59107	0.543834	0.504854
13-080-GFM	0.342593	0.386804	0.443092	0.498466	0.550593	0.600751	0.649255	0.69623	0.73983	0.77327	0.802732	0.829873	0.863601	0.900078	0.931121	0.955352	0.973283	0.986651	0.992337	1.009583	1.026038	1.040487	1.052563	1.061973	1.067639	1.074832	1.083433	1.091812	1.102138	1.101583	1.103738	1.111493	1.10889	1.116867	1.130688	1.141298	1.143114	1.14281	1.150899	1.155068	1.156205	1.161254	1.165677	1.16982	1.174918	1.177533	1.172602	1.171129	1.177187	1.176085	1.172453	1.173489	1.173476	1.179436	1.185036	1.186786	1.189705	1.188024	1.183279	1.177231	1.172259	1.166308	1.163789	1.164809	1.160032	1.153295	1.146478	1.143098	1.139822	1.135239	1.129664	1.119709	1.116876	1.109586	1.102106	1.095006	1.0834	1.069922	1.071765	1.066152	1.053349	1.045597	1.033801	1.015121	0.993909	0.974961	0.948552	0.931271	0.914511	0.89363	0.872482	0.84106	0.812358	0.781683	0.747821	0.70858	0.670607	0.637819	0.59622	0.551345	0.512476
13-080-GTS	0.337006	0.382229	0.440329	0.502223	0.558988	0.60882	0.659668	0.676248	0.716725	0.751549	0.781998	0.804876	0.83459	0.870696	0.898607	0.921217	0.939859	0.949788	0.948392	0.965722	0.986676	1.003847	1.016431	1.02831	1.038705	1.049482	1.063655	1.075794	1.085664	1.083459	1.084329	1.088479	1.089061	1.094531	1.104549	1.112711	1.111866	1.110713	1.124215	1.128121	1.131968	1.141342	1.151495	1.151451	1.155815	1.153112	1.15449	1.159316	1.166819	1.164952	1.163329	1.162176	1.155468	1.154816	1.156258	1.158021	1.160408	1.163412	1.158612	1.153826	1.151237	1.15624	1.157976	1.160279	1.160057	1.154578	1.14956	1.154349	1.157313	1.162121	1.167032	1.160089	1.152363	1.145854	1.140966	1.13106	1.121303	1.106324	1.102832	1.097557	1.085336	1.079193	1.067589	1.052822	1.037431	1.019809	0.996559	0.979076	0.966194	0.948657	0.926323	0.89709	0.868352	0.841719	0.805837	0.771946	0.731043	0.688144	0.6281	0.558082	0.497777
13-095-CC	0.328058	0.372517	0.427079	0.479014	0.526819	0.571163	0.619023	0.664595	0.705757	0.741352	0.771341	0.7981	0.829849	0.86469	0.887565	0.904654	0.918922	0.933764	0.944575	0.964182	0.979841	0.993826	1.005388	1.017704	1.028297	1.039105	1.049429	1.060014	1.072003	1.068302	1.071923	1.07943	1.07892	1.084066	1.091387	1.102127	1.105161	1.106861	1.11728	1.123554	1.128336	1.133599	1.136766	1.13881	1.143279	1.138194	1.140993	1.137133	1.144744	1.148024	1.150311	1.151979	1.151426	1.152725	1.157194	1.156089	1.156335	1.158775	1.156361	1.150631	1.147883	1.148865	1.14911	1.148095	1.148727	1.150049	1.144867	1.146888	1.147411	1.144246	1.143664	1.138269	1.148763	1.162	1.163609	1.157842	1.130871	1.114681	1.111728	1.109806	1.095205	1.091598	1.084927	1.076453	1.067137	1.052264	1.030834	1.016155	1.005018	0.987657	0.969642	0.939759	0.913766	0.887076	0.850184	0.81333	0.767276	0.721068	0.663653	0.597876	0.546866
13-095-GFM	0.357973	0.39988	0.457717	0.518705	0.565657	0.606881	0.65129	0.660286	0.691468	0.718864	0.749946	0.769048	0.800545	0.827956	0.853641	0.871711	0.886274	0.91246	0.928901	0.942625	0.966195	0.984101	0.988284	0.99206	0.993479	1.001028	1.012647	1.020108	1.030779	1.029461	1.038866	1.059174	1.062866	1.070189	1.070776	1.073363	1.073677	1.074654	1.081051	1.082652	1.089946	1.09647	1.097881	1.099312	1.102738	1.112654	1.118626	1.127431	1.130381	1.134549	1.139258	1.149718	1.152547	1.156565	1.163281	1.173298	1.171117	1.17297	1.167461	1.172616	1.175062	1.183841	1.181184	1.184035	1.180662	1.181142	1.175502	1.17368	1.175197	1.172001	1.167024	1.163568	1.171511	1.176747	1.16997	1.159566	1.129221	1.117027	1.115283	1.109501	1.117129	1.129845	1.128925	1.104168	1.080816	1.067847	1.04917	1.027568	1.016582	1.002731	0.990235	0.963067	0.935708	0.904508	0.872271	0.832091	0.785974	0.742084	0.687645	0.633263	0.584246
13-095-GTS	0.428291	0.454102	0.495081	0.550077	0.590583	0.629143	0.666718	0.669768	0.705949	0.737478	0.764774	0.779343	0.803302	0.820933	0.840997	0.862502	0.878956	0.909844	0.928621	0.945512	0.961882	0.974913	0.980825	0.987511	0.994808	1.01056	1.021446	1.030256	1.041393	1.042139	1.038373	1.046559	1.05041	1.058199	1.065204	1.07167	1.07684	1.082483	1.099531	1.113921	1.116581	1.120883	1.128285	1.134813	1.144398	1.145345	1.147069	1.147281	1.155634	1.158862	1.159542	1.159358	1.163441	1.163917	1.167749	1.171751	1.169387	1.163269	1.159292	1.158734	1.154868	1.161515	1.155757	1.155081	1.147213	1.144834	1.14823	1.147024	1.141381	1.136598	1.14458	1.141941	1.146274	1.146161	1.14419	1.140784	1.114748	1.098037	1.095023	1.088099	1.099097	1.111281	1.103457	1.081172	1.056512	1.047175	1.036871	1.032168	1.027876	0.99509	0.976407	0.946459	0.921725	0.890047	0.857886	0.827155	0.787099	0.757028	0.714889	0.671008	0.636748
14-002-CC	0.300635	0.3421	0.394713	0.44495	0.493845	0.544546	0.590289	0.634095	0.677073	0.713355	0.747105	0.778258	0.817778	0.859353	0.890797	0.913923	0.93244	0.949956	0.959001	0.977343	1.00012	1.015322	1.030395	1.046828	1.063123	1.072425	1.08288	1.095792	1.11173	1.112221	1.118581	1.131798	1.1291	1.131847	1.14183	1.151293	1.153671	1.155843	1.170377	1.176312	1.180695	1.188443	1.195084	1.19913	1.204197	1.202828	1.203985	1.198477	1.205349	1.207553	1.205539	1.204343	1.203047	1.204654	1.206677	1.19984	1.202211	1.201408	1.19615	1.193385	1.194852	1.197347	1.194072	1.193	1.190836	1.188015	1.181057	1.178905	1.175069	1.170286	1.165326	1.15208	1.144018	1.137144	1.128761	1.122505	1.109477	1.095235	1.088447	1.079652	1.064823	1.05524	1.042825	1.026025	1.006408	0.98432	0.955117	0.934191	0.914959	0.893236	0.869262	0.833178	0.799732	0.76388	0.725661	0.679883	0.636518	0.597341	0.552873	0.505558	0.468187
14-005-CC	0.355931	0.403247	0.45283	0.505106	0.555595	0.60391	0.651526	0.693694	0.733927	0.765581	0.800269	0.833536	0.867566	0.904669	0.93239	0.953189	0.97155	0.985891	0.995842	1.011375	1.028238	1.04436	1.05648	1.070266	1.079462	1.091258	1.105954	1.124464	1.136465	1.13396	1.13345	1.140439	1.138904	1.137588	1.144204	1.152609	1.152225	1.151798	1.159894	1.162167	1.163254	1.169047	1.168767	1.17054	1.173559	1.169878	1.165981	1.160545	1.164337	1.166261	1.164761	1.166054	1.165252	1.164242	1.164451	1.15885	1.165069	1.166254	1.163375	1.16504	1.163873	1.160132	1.157589	1.154681	1.153177	1.147506	1.138912	1.134422	1.130941	1.125465	1.113844	1.105834	1.100368	1.09494	1.08909	1.080856	1.071427	1.06161	1.06084	1.054423	1.045265	1.040694	1.028514	1.014442	1.000341	0.981806	0.956431	0.939616	0.925474	0.905883	0.879946	0.844937	0.814506	0.782394	0.746149	0.707914	0.668549	0.631369	0.589216	0.54321	0.508065
14-005-GFM	0.344709	0.384377	0.438545	0.492288	0.542292	0.591066	0.642308	0.68357	0.724269	0.754571	0.785218	0.812453	0.848128	0.884267	0.908043	0.924043	0.944277	0.958906	0.968531	0.992795	1.011645	1.031137	1.048333	1.066664	1.077382	1.088754	1.100011	1.118505	1.129	1.129553	1.128815	1.138395	1.135245	1.136775	1.146234	1.156316	1.159168	1.159456	1.168979	1.175088	1.186832	1.195544	1.199694	1.199651	1.198311	1.195271	1.19572	1.190135	1.191867	1.187794	1.18643	1.18718	1.183973	1.189199	1.192966	1.190892	1.195108	1.195592	1.192024	1.1879	1.185642	1.183732	1.178789	1.173771	1.168542	1.161452	1.153749	1.149345	1.145712	1.136955	1.130227	1.120151	1.113512	1.100918	1.08974	1.080615	1.069765	1.057524	1.055595	1.046081	1.0363	1.026402	1.010288	0.99137	0.974403	0.953179	0.925373	0.907947	0.893364	0.875039	0.853499	0.822973	0.795882	0.765947	0.731631	0.697103	0.663062	0.632452	0.593583	0.552033	0.514903
14-005-GTS	0.325699	0.3642	0.415899	0.463785	0.513182	0.564426	0.616677	0.657466	0.700357	0.734219	0.76269	0.777933	0.809741	0.844368	0.869435	0.890707	0.91294	0.93007	0.941987	0.963206	0.982744	1.002331	1.019582	1.033587	1.046414	1.060284	1.072503	1.086652	1.101981	1.105493	1.108785	1.118984	1.119831	1.121962	1.129741	1.144091	1.152212	1.153963	1.164736	1.170648	1.181725	1.192351	1.196759	1.194031	1.193441	1.192329	1.191306	1.19136	1.193989	1.192286	1.194016	1.198244	1.196776	1.193534	1.193232	1.19414	1.19575	1.193653	1.183963	1.180317	1.178301	1.177355	1.173228	1.168941	1.164548	1.154487	1.15113	1.150322	1.148356	1.150072	1.149773	1.13934	1.144293	1.148523	1.146219	1.136252	1.10582	1.089436	1.085508	1.073566	1.062555	1.056131	1.046025	1.029839	1.010734	0.991168	0.964806	0.944574	0.931696	0.912725	0.888793	0.855176	0.827499	0.798859	0.765344	0.731669	0.692015	0.656046	0.608706	0.559653	0.514491
14-010-CC	0.319321	0.362482	0.41938	0.47237	0.522299	0.569601	0.613384	0.657222	0.700553	0.7326	0.767105	0.798288	0.836921	0.874842	0.903445	0.92773	0.947487	0.956648	0.953365	0.969354	0.990402	1.006886	1.022699	1.036933	1.043028	1.05286	1.064517	1.07398	1.088982	1.089126	1.098247	1.107354	1.102739	1.10454	1.113447	1.124323	1.12457	1.127445	1.137518	1.140654	1.143592	1.155891	1.165191	1.167608	1.173805	1.176674	1.179803	1.180763	1.185923	1.188209	1.186007	1.181726	1.181705	1.182782	1.18878	1.185196	1.188882	1.18969	1.189316	1.188078	1.189296	1.19454	1.195398	1.200378	1.199645	1.197758	1.189527	1.186135	1.183455	1.17989	1.172443	1.160703	1.154296	1.146771	1.135929	1.126271	1.115661	1.103869	1.09617	1.091237	1.080452	1.073238	1.061831	1.047314	1.029882	1.006532	0.974483	0.953405	0.936454	0.914607	0.893507	0.859531	0.827015	0.791527	0.746039	0.697059	0.655666	0.615701	0.564903	0.510598	0.467236
14-015-CC	0.327942	0.370933	0.424928	0.475477	0.524802	0.57048	0.613636	0.65764	0.70135	0.740878	0.772698	0.800857	0.834825	0.870675	0.896945	0.919252	0.93694	0.945701	0.949838	0.965133	0.985369	0.99915	1.009607	1.023075	1.032398	1.042261	1.051517	1.063138	1.075997	1.075066	1.081355	1.093013	1.090984	1.097874	1.111355	1.122216	1.125568	1.125686	1.13803	1.140545	1.143063	1.149592	1.154368	1.156737	1.162324	1.165644	1.16909	1.168886	1.175677	1.176548	1.175395	1.174851	1.175068	1.177249	1.182339	1.181133	1.186538	1.185716	1.180664	1.177536	1.177905	1.180667	1.179786	1.185125	1.183483	1.180686	1.174619	1.175118	1.175156	1.170114	1.167029	1.151272	1.146548	1.141529	1.134404	1.12572	1.114854	1.101694	1.097777	1.092062	1.083293	1.079026	1.070453	1.058001	1.043081	1.024792	0.996977	0.97805	0.958289	0.935319	0.912866	0.879906	0.851222	0.816336	0.779258	0.736507	0.693591	0.655907	0.606563	0.551207	0.509622
