Sample	Coding	UTR	Intronic	Intergenic	Ribosomal	PF not aligned
13-066-CC	3687313025.0	2094172224.0	1482577828.0	331018863.0	71480116.0	239736416.0
13-080-GFM	3548365991.0	2037524940.0	1519885540.0	264799169.0	133641386.0	322725840.0
13-080-GTS	3860434647.0	1593229667.0	1548090117.0	343313658.0	1148618910.0	1121945798.0
13-095-CC	662214159.0	537438854.0	4063755772.0	3424487886.0	119213087.0	785210532.0
13-095-GFM	316139778.0	218925984.0	3167567667.0	2745697545.0	164010655.0	745273759.0
13-095-GTS	1182397182.0	260208144.0	3090487348.0	2419560710.0	429360467.0	594075886.0
14-002-CC	1423975983.0	897780798.0	3137405303.0	2321326132.0	54691070.0	533457729.0
14-005-CC	1243177270.0	868810536.0	2679488775.0	2058554346.0	92979787.0	842655644.0
14-005-GFM	543163217.0	475403757.0	3237057252.0	2541525302.0	66761596.0	679737742.0
14-005-GTS	649864940.0	658967583.0	6072181799.0	5062238337.0	172336593.0	1884879971.0
14-010-CC	4369341066.0	2277145180.0	1230609338.0	623583560.0	157535774.0	392203752.0
14-015-CC	4200635562.0	2522048756.0	1166108499.0	346382192.0	57982478.0	284650399.0
14-015-GFM	2305604818.0	1403608690.0	1486808305.0	512586035.0	24892280.0	153888639.0
14-015-GTS	3010146119.0	1770600030.0	1168865633.0	343604510.0	95193332.0	233186080.0
14-029-CC	1166885596.0	736485254.0	3645979836.0	2914259858.0	49743926.0	779223323.0
14-029-GFM	527616565.0	466579834.0	3306103662.0	2655418129.0	46172581.0	748353607.0
14-029-GTS	695093264.0	581557137.0	3306813259.0	2694155334.0	47956681.0	1120494847.0
14-043-GFM	300028939.0	353302317.0	4216404781.0	3569196120.0	41947014.0	760902035.0
14-043-GTS	371449955.0	610170093.0	8916935132.0	6701437746.0	44801780.0	841523700.0
14-046-CC	3813513984.0	2010143485.0	2168221688.0	1684714138.0	146035420.0	810175227.0
14-046-GFM	690858209.0	555766055.0	4269974062.0	3472677290.0	137963086.0	1075906197.0
14-046-GTS	315215194.0	344741332.0	4516832917.0	3763171983.0	110818353.0	1229855890.0
14-048-CC	725618109.0	538799217.0	3781552561.0	2992521043.0	44782227.0	547079860.0
14-048-GFM	256702729.0	339878015.0	4495158899.0	3635331399.0	19958144.0	907485318.0
14-048-GTS	397739753.0	402015627.0	4240082058.0	3396458388.0	27310356.0	797419169.0
14-051-CC	1473462003.0	1024619572.0	4781872916.0	3425495533.0	74123272.0	749764696.0
14-051-GFM	127592521.0	358304194.0	4491798764.0	3346728947.0	1011007.0	757938921.0
14-051-GTS	1036403285.0	813182260.0	3925570164.0	3150570484.0	53352071.0	1394704607.0
14-053-CC	537448496.0	462942107.0	3540538302.0	2842635835.0	24923382.0	572871221.0
14-053-GFM	224121967.0	306787672.0	3615244172.0	3004361806.0	17011113.0	873088665.0
14-053-GTS	194967712.0	283353009.0	3789904048.0	3109564508.0	26174097.0	626061192.0
14-055-CC	822847185.0	623367001.0	3586323781.0	2757806435.0	36246130.0	443820136.0
14-063-CC	483889134.0	448819678.0	4207401100.0	3033733866.0	20103420.0	629580075.0
14-063-GFM	106508329.0	217450315.0	3475993079.0	2533464193.0	11746743.0	555717365.0
14-063-GTS	119856339.0	254279407.0	4176888940.0	3109392971.0	19441425.0	519888634.0
14-069-CC	1767996916.0	1113215788.0	2667930691.0	1870734797.0	90117080.0	1380879442.0
14-069-GFM	466076881.0	451903206.0	3859024418.0	3032671083.0	13976894.0	910107179.0
14-069-GTS	673766932.0	616837877.0	4321251303.0	3196462725.0	47337266.0	1192107645.0
14-074-CC	278333687.0	268247302.0	2588828698.0	2234753236.0	18573113.0	1308879823.0
